"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Gadget's Go Coaster","http://www.rcdb.com/./1184.htm","Tokyo Disneyland","http://www.rcdb.com/./4959.htm","1995","Sit Down","27","679","0","21.7","56","35.632875","139.880365","Japan"
"Gauntlet","http://www.rcdb.com/./2421.htm","Magic Springs & Crystal Falls","http://www.rcdb.com/./4682.htm","2004","Inverted","109","2260","5","49.7","96","34.519827","-93.017011","USA"
"Go Go Coaster","http://www.rcdb.com/./3006.htm","Chiba Zoo Dream World","http://www.rcdb.com/./5700.htm","2000","Sit Down","27","679","0","21.7","44","35.644843","140.124242",""
"Golden Wings in Snowfield","http://www.rcdb.com/./2978.htm","Happy Valley","http://www.rcdb.com/./5689.htm","2006","Inverted","117","2202","4","54.9","92","39.866418","116.488627","China"
"Goliath","http://www.rcdb.com/./10138.htm","Six Flags New England","http://www.rcdb.com/./4565.htm","2012","Inverted","191","1204","3","65.6","92","42.038401","-72.613535","USA"
"Goudurix","http://www.rcdb.com/./753.htm","Parc Astérix","http://www.rcdb.com/./4790.htm","1989","Sit Down","118","3116","7","56","80","49.133380","2.570497","France"
"Grampus Jet","http://www.rcdb.com/./1311.htm","Mitsui Greenland","http://www.rcdb.com/./4967.htm","-","Suspended","0","0","0","0","130","32.988850","130.464900","Japan"
"Gravity Max","http://www.rcdb.com/./1357.htm","Discovery World","http://www.rcdb.com/./5026.htm","2002","Sit Down","114","1863","1","56","146","24.322355","120.694175","Taiwan"
"Halilintar","http://www.rcdb.com/./2831.htm","Kota Fantasi","http://www.rcdb.com/./5631.htm","2004 or earlier","Sit Down","0","0","0","0","0","-6.925575","107.636468","Bandung Supermal"
"Hangman","http://www.rcdb.com/./162.htm","Opryland USA","http://www.rcdb.com/./4562.htm","1995","Inverted","109","2260","5","49.7","96","0","0","USA"
"Hangman","http://www.rcdb.com/./561.htm","Wild Adventures","http://www.rcdb.com/./4703.htm","1999","Inverted","109","2260","5","49.7","96","30.720735","-83.321879","USA"
"HangOver","http://www.rcdb.com/./1060.htm","Liseberg","http://www.rcdb.com/./4909.htm","1997","Inverted","131","1013","3","50","90","57.695009","11.993015","Sweden"
"Hang Ten","http://www.rcdb.com/./3870.htm","Freestyle Music Park","http://www.rcdb.com/./6023.htm","2008","Sit Down","0","0","0","0","0","33.715487","-78.929837",""
"Head Spin","http://www.rcdb.com/./283.htm","Geauga Lake & Wildwater Kingdom","http://www.rcdb.com/./4586.htm","1996","Sit Down","116","935","3","47","108","41.351273","-81.377310","USA"
"Herky & Timmy's Racing Coaster","http://www.rcdb.com/./2969.htm","Everland","http://www.rcdb.com/./5017.htm","2005","Sit Down","0","1030","0","0","62","0","0","South Korea"
"Hornet","http://www.rcdb.com/./3513.htm","Wonderland Amusement Park","http://www.rcdb.com/./4594.htm","2006","Sit Down","27","1148","0","0","0","35.242606","-101.832436","USA"
"Hurricane","http://www.rcdb.com/./1260.htm","Rusutsu Resort","http://www.rcdb.com/./4985.htm","1995","Inverted","109","2260","5","49.7","96","42.747895","140.897877","Japan"
"Infusion","http://www.rcdb.com/./3672.htm","Pleasure Beach, Blackpool","http://www.rcdb.com/./4795.htm","2007","Inverted","109","2260","5","49.7","83","53.791091","-3.055106","UK"
"Innovative Roller Coaster","http://www.rcdb.com/./4336.htm","Innovative Film City","http://www.rcdb.com/./5778.htm","2009","Sit Down","42","1099","0","28.5","66","12.776774","77.416848","India"
"Invertigo","http://www.rcdb.com/./473.htm","California's Great America","http://www.rcdb.com/./4541.htm","1998","Inverted","131","1013","3","50","90","37.395422","-121.972210","USA"
"Invertigo","http://www.rcdb.com/./530.htm","Kings Island","http://www.rcdb.com/./4540.htm","1999","Inverted","131","1013","3","50","90","39.342080","-84.268460","USA"
"Iron Horse","http://www.rcdb.com/./3854.htm","Freestyle Music Park","http://www.rcdb.com/./6023.htm","2008","Sit Down","0","0","0","0","0","33.715487","-78.929837",""
"Jaguar","http://www.rcdb.com/./964.htm","Isla Mágica","http://www.rcdb.com/./4867.htm","1997","Inverted","109","2510","5","49.7","102","37.407500","-6.000000","Spain"
