"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Goliath","http://www.rcdb.com/./1565.htm","Walibi Holland","http://www.rcdb.com/./4794.htm","2002","Mega-lite / Mega / Giga","153","3982","0","65.9","92","52.440316","5.762501","Netherlands"
"Green Lantern: First Flight","http://www.rcdb.com/./9519.htm","Six Flags Magic Mountain","http://www.rcdb.com/./4532.htm","2011","ZacSpin","107","825","0","37","0","34.424243","-118.597906","USA"
"Half Pipe","http://www.rcdb.com/./1826.htm","Särkänniemi Amusement Park","http://www.rcdb.com/./4919.htm","2003","Half-pipe / Impulse","98","229","0","43.5","120","61.505358","23.743526","Finland"
"Half Pipe","http://www.rcdb.com/./2648.htm","Elitch Gardens","http://www.rcdb.com/./4574.htm","2004","Half-pipe / Impulse","98","229","0","43.5","120","39.749147","-105.012485","USA"
"Half Pipe","http://www.rcdb.com/./3383.htm","Don Quijote","http://www.rcdb.com/./5891.htm","2005","Half-pipe / Impulse","65","170","0","0","0","35.662442","139.734775","Japan"
"Half Pipe","http://www.rcdb.com/./3499.htm","Chimelong Paradise","http://www.rcdb.com/./5904.htm","2006","Half-pipe / Impulse","0","0","0","0","0","23.002081","113.325562","China"
"Indiana Jones et le Temple du Péril","http://www.rcdb.com/./957.htm","Disneyland Paris - Disneyland Park","http://www.rcdb.com/./4864.htm","1993","Sit Down","0","1968","1","0","75","0","0","France"
"Inferno","http://www.rcdb.com/./3676.htm","Terra Mítica","http://www.rcdb.com/./4921.htm","2007","ZacSpin","83","465","0","37","60","38.559534","-0.161769","Spain"
"Insane","http://www.rcdb.com/./4309.htm","Gröna Lund","http://www.rcdb.com/./4910.htm","2009","ZacSpin","116","820","0","37.3","0","59.323042","18.096178","Sweden"
"Intimidator 305","http://www.rcdb.com/./4520.htm","Kings Dominion","http://www.rcdb.com/./4544.htm","2010","Mega-lite / Mega / Giga","305","5100","0","90","180","37.838440","-77.443310","USA"
"iSpeed","http://www.rcdb.com/./4147.htm","Mirabilandia","http://www.rcdb.com/./4793.htm","2009","Launched","180","3280","2","74.6","0","44.337532","12.263328","Italy"
"Jet Rescue","http://www.rcdb.com/./4293.htm","Sea World","http://www.rcdb.com/./4942.htm","2008","Launched","0","0","0","43.5","0","-27.955304","153.425333","Australia"
"Jr. Gemini","http://www.rcdb.com/./15.htm","Cedar Point","http://www.rcdb.com/./4529.htm","1979","Sit Down","19","443","0","6","50","41.481972","-82.684565","USA"
"Jupiter","http://www.rcdb.com/./1254.htm","Kijima Kogen","http://www.rcdb.com/./4983.htm","1992","Wooden","0","5249","0","0","154","33.264886","131.426665","Japan"
"Kanonen","http://www.rcdb.com/./2905.htm","Liseberg","http://www.rcdb.com/./4909.htm","2005","Launched","78","1443","2","46.6","50","57.695009","11.993015","Sweden"
